// ROYAL_FLUSH
"CT CJ CQ CK CA"
// STRAIGHT_FLUSH
"D8 DQ DJ DT D9"
"H8 HT HJ H7 H9"
// POKER
"HT SQ ST DT CT"
"HT SK ST DT CT"
"H8 SQ S8 D8 C8"
"H7 SK S7 D7 C7"
// FULL_HOUSE
"H2 SQ C2 D2 CQ"
"D2 DJ D2 D2 DJ"
"H2 SJ C2 D2 CJ"
"D2 DJ D2 D2 DJ"
// FLUSH
"HK HQ H2 H4 H5"
"HK HQ H2 H4 H5"
"D5 D4 D2 DQ DK"
// STRAIGHT
"H3 S7 H5 D6 H4"
"C9 CT SJ D7 H8"
"H4 S5 HA D3 H2"
// THREE_OF_A_KIND
"H2 SQ S2 D2 CK"
"H2 S7 S2 D2 C9"
"H2 S8 S2 D2 C9"
// TWO_PAIRS
"H5 SQ C5 DT CT"
"D5 DK S5 DT DT"
"H9 SQ C9 DT CT"
"H9 SQ C9 DT CT"
"D8 DK S8 DT DT"
// PAIR
"H3 S8 H5 D8 CA"
"S4 DA H3 CA HT"
// HIGH_CARD
"H3 S8 H5 DK CA"
"H3 S8 H5 DK CT"
"H3 S8 H5 DK C2"
